id,90% Credible Intervals_x,90% Credible Intervals_y,90% Credible Intervals_x2,90% Credible Intervals_y2,Posterior Predictive_x,Posterior Predictive_y,Posterior Mode_x,Posterior Mode_y,Exact Data_x,Exact Data_y
1,1E-06,616.562206645079,1E-06,9563.6025202588,1E-06,8137.63731659486,1E-06,1477.91242251345,0.876712328767123,76
2,2E-06,593.857212655111,2E-06,7704.28002048668,2E-06,5987.80966815174,2E-06,1342.43970874642,0.328767123287671,144
3,5E-06,563.558455424276,5E-06,5795.33457345532,5E-06,4083.23048326416,5E-06,1179.83964979799,0.986301369863014,54
4,1E-05,540.03061550581,1E-05,4657.62198254253,1E-05,3105.7425657834,1E-05,1068.20826255388,0.821917808219178,82
5,2E-05,515.882011570141,2E-05,3731.8009720873,2E-05,2392.48995278137,2E-05,965.505487931505,0.534246575342466,115
6,5E-05,483.699916487585,5E-05,2806.70041840441,5E-05,1726.96908429324,5E-05,842.236406806588,0.410958904109589,132
7,0.0001,459.201923573187,0.0001,2258.61347868432,0.0001,1368.03261404478,0.0001,757.605977761164,0.452054794520548,129
8,0.0002,434.372676971588,0.0002,1821.10178940775,0.0002,1096.13355129618,0.0002,679.742330642631,0.0136986301369863,334
9,0.0005,400.005422539934,0.0005,1364.29890798945,0.0005,831.493464009663,0.0005,586.279727421529,0.0410958904109589,304
10,0.001,373.474452236022,0.001,1091.83955221889,0.001,682.801653539265,0.001,522.102949355948,0.794520547945205,87
11,0.002,347.106829479681,0.002,875.545767256308,0.002,565.966999989285,0.002,463.040735169718,0.657534246575342,103
12,0.005,312.049754508273,0.005,652.071211679511,0.005,447.232416247026,0.005,392.095159483102,0.164383561643836,182
13,0.01,284.391977709133,0.01,523.979836218484,0.01,376.976406095111,0.01,343.303416878646,0.561643835616438,114
14,0.02,256.594208669147,0.02,418.845729122392,0.02,318.626679113396,0.02,298.270366471943,0.0684931506849315,236
15,0.05,218.612889059867,0.05,309.308370341193,0.05,254.344763888115,0.05,243.77346849513,0.383561643835616,133
16,0.1,188.453421064161,0.1,244.847900089962,0.1,212.057740705691,0.1,205.659966802352,0.917808219178082,71
17,0.2,156.886522203245,0.2,192.07721323773,0.2,172.896746215357,0.2,169.287539635696,0.397260273972603,133
18,0.3,137.465299844433,0.3,165.029918991897,0.3,150.429527896659,0.3,148.16686610494,0.698630136986301,101
19,0.5,111.116681949449,0.5,131.59369261554,0.5,120.901693668486,0.5,120.214171916084,0.931506849315068,69
20,0.7,90.3859245871428,0.7,106.905156667449,0.7,98.3020857263121,0.7,98.6256316432574,0.575342465753425,113
21,0.8,79.58793207132,0.8,94.9233609418155,0.8,87.1015311829405,0.8,87.8386379679556,0.753424657534247,93
22,0.9,66.1259330728139,0.9,81.2979088355051,0.9,73.8580714548273,0.9,75.0373106578386,0.479452054794521,119
23,0.95,55.7751373464282,0.95,72.1788498681816,0.95,64.4254016037687,0.95,65.9765439524554,0.671232876712329,102
24,0.98,44.6651711012742,0.98,63.8627760173307,0.98,54.8346198207514,0.98,57.0762891542415,0.287671232876712,160
25,0.99,37.8281302613878,0.99,59.3358240319658,0.99,48.7523502788466,0.99,51.7749185767487,0.0273972602739726,310
26,,,,,,,,,0.205479452054795,174
27,,,,,,,,,0.0547945205479452,246
28,,,,,,,,,0.767123287671233,92
29,,,,,,,,,0.780821917808219,91
30,,,,,,,,,0.602739726027397,112
31,,,,,,,,,0.958904109589041,57
32,,,,,,,,,0.547945205479452,115
33,,,,,,,,,0.904109589041096,75
34,,,,,,,,,0.73972602739726,95
35,,,,,,,,,0.506849315068493,116
36,,,,,,,,,0.136986301369863,191
37,,,,,,,,,0.726027397260274,97
38,,,,,,,,,0.356164383561644,137
39,,,,,,,,,0.972602739726027,55
40,,,,,,,,,0.808219178082192,86
41,,,,,,,,,0.589041095890411,112
42,,,,,,,,,0.643835616438356,104
43,,,,,,,,,0.191780821917808,175
44,,,,,,,,,0.684931506849315,102
45,,,,,,,,,0.712328767123288,99
46,,,,,,,,,0.945205479452055,64
47,,,,,,,,,0.178082191780822,177
48,,,,,,,,,0.36986301369863,135
49,,,,,,,,,0.0958904109589041,200
50,,,,,,,,,0.616438356164384,110
51,,,,,,,,,0.835616438356164,81
52,,,,,,,,,0.246575342465753,170
53,,,,,,,,,0.520547945205479,116
54,,,,,,,,,0.89041095890411,76
55,,,,,,,,,0.232876712328767,173
56,,,,,,,,,0.10958904109589,193
57,,,,,,,,,0.424657534246575,130
58,,,,,,,,,0.123287671232877,192
59,,,,,,,,,0.0821917808219178,226
60,,,,,,,,,0.219178082191781,174
61,,,,,,,,,0.63013698630137,110
62,,,,,,,,,0.863013698630137,77
63,,,,,,,,,0.150684931506849,182
64,,,,,,,,,0.438356164383562,130
65,,,,,,,,,0.273972602739726,160
66,,,,,,,,,0.342465753424658,140
67,,,,,,,,,0.315068493150685,147
68,,,,,,,,,0.849315068493151,80
69,,,,,,,,,0.465753424657534,121
70,,,,,,,,,0.26027397260274,162
71,,,,,,,,,0.493150684931507,118
72,,,,,,,,,0.301369863013699,149
