id,90% Credible Intervals_x,90% Credible Intervals_y,90% Credible Intervals_x2,90% Credible Intervals_y2,Posterior Predictive_x,Posterior Predictive_y,Posterior Mode_x,Posterior Mode_y,Exact Data_x,Exact Data_y,Low Outlier Data_x,Low Outlier Data_y
1,1E-06,361.748911559713,1E-06,824.474492269278,1E-06,932.619915821145,1E-06,433.389380966629,0.432692307692308,148,0.990384615384615,24
2,2E-06,359.049829603061,2E-06,785.047854164855,2E-06,834.267623833794,2E-06,426.872184571414,0.365384615384615,164,0.971153846153846,55
3,5E-06,354.602782314168,5E-06,732.289614428253,5E-06,725.085736040885,5E-06,417.419542863385,0.942307692307692,75,0.980769230769231,53
4,1E-05,350.681762865058,1E-05,693.846721118446,1E-05,655.811030742606,1E-05,409.576971195776,0.807692307692308,107,0.961538461538462,65
5,2E-05,346.447103454687,2E-05,656.939686242061,2E-05,596.008084079603,2E-05,401.083503380051,0.480769230769231,143,,
6,5E-05,339.69228579396,5E-05,606.147044403699,5E-05,529.136772307872,5E-05,388.76433285807,0.567307692307692,135,,
7,0.0001,333.965865824903,0.0001,568.612405486833,0.0001,486.112987213206,0.0001,378.543286305951,0.932692307692308,79,,
8,0.0002,327.374466125711,0.0002,531.699607199957,0.0002,448.534843438984,0.0002,367.473538958797,0.75,115,,
9,0.0005,317.316367099623,0.0005,484.729610929796,0.0005,405.646993277054,0.0005,351.416166748621,0.471153846153846,143,,
10,0.001,308.223275958107,0.001,450.089804457815,0.001,377.2096931223,0.001,338.090945491016,0.375,164,,
11,0.002,297.982368682058,0.002,416.166791198982,0.002,351.36382427686,0.002,323.654013630381,0.855769230769231,95,,
12,0.005,282.12047409484,0.005,371.913752021491,0.005,320.129600511341,0.005,302.692805311207,0.0865384615384615,211,,
13,0.01,267.797248567332,0.01,339.355953885195,0.01,297.509143553543,0.01,285.263415498173,0.221153846153846,193,,
14,0.02,251.489041774682,0.02,307.307121154772,0.02,274.878925500595,0.02,266.310121741654,0.653846153846154,122,,
15,0.05,226.349500585962,0.05,265.083768979999,0.05,243.680480276358,0.05,238.52602513038,0.817307692307692,102,,
16,0.1,204.185413571453,0.1,233.724989411497,0.1,218.110237366515,0.1,214.926929991243,0.0288461538461538,254,,
17,0.2,178.318378262035,0.2,201.564950500669,0.2,189.666534262424,0.2,188.153258823527,0.538461538461538,137,,
18,0.3,160.884579738556,0.3,181.406479939808,0.3,170.841290519095,0.3,170.207736860325,0.884615384615385,85,,
19,0.5,134.329194027926,0.5,151.815995332774,0.5,142.701419477735,0.5,143.069755001568,0.894230769230769,83,,
20,0.7,110.265476251536,0.7,125.980783327256,0.7,117.972550439626,0.7,118.885200569337,0.692307692307692,120,,
21,0.8,96.4131954601816,0.8,112.436531743618,0.8,104.447065466861,0.8,105.541968728767,0.355769230769231,164,,
22,0.9,78.0746973874848,0.9,95.6071024347904,0.9,87.1769702140459,0.9,88.4519006719282,0.519230769230769,140,,
23,0.95,63.2828502234237,0.95,83.5313224086639,0.95,73.9302989270001,0.95,75.4382394813908,0.0384615384615385,240,,
24,0.98,47.251083574896,0.98,71.6756116577434,0.98,59.7586623738421,0.98,61.8326454033512,0.192307692307692,196,,
25,0.99,37.0044432856065,0.99,64.6603515788815,0.99,50.550791192327,0.99,53.3080480925656,0.125,205,,
26,,,,,,,,,0.0961538461538462,208,,
27,,,,,,,,,0.509615384615385,141,,
28,,,,,,,,,0.105769230769231,206,,
29,,,,,,,,,0.336538461538462,168,,
30,,,,,,,,,0.923076923076923,79,,
31,,,,,,,,,0.278846153846154,184,,
32,,,,,,,,,0.451923076923077,145,,
33,,,,,,,,,0.490384615384615,142,,
34,,,,,,,,,0.846153846153846,97,,
35,,,,,,,,,0.413461538461538,152,,
36,,,,,,,,,0.913461538461538,81,,
37,,,,,,,,,0.836538461538462,99,,
38,,,,,,,,,0.605769230769231,130,,
39,,,,,,,,,0.403846153846154,153,,
40,,,,,,,,,0.586538461538462,133,,
41,,,,,,,,,0.673076923076923,120,,
42,,,,,,,,,0.701923076923077,119,,
43,,,,,,,,,0.384615384615385,163,,
44,,,,,,,,,0.25,187,,
45,,,,,,,,,0.903846153846154,83,,
46,,,,,,,,,0.740384615384615,115,,
47,,,,,,,,,0.663461538461538,121,,
48,,,,,,,,,0.596153846153846,131,,
49,,,,,,,,,0.307692307692308,178,,
50,,,,,,,,,0.240384615384615,188,,
51,,,,,,,,,0.317307692307692,175,,
52,,,,,,,,,0.528846153846154,138,,
53,,,,,,,,,0.682692307692308,120,,
54,,,,,,,,,0.634615384615385,123,,
55,,,,,,,,,0.759615384615385,113,,
56,,,,,,,,,0.269230769230769,184,,
57,,,,,,,,,0.875,89,,
58,,,,,,,,,0.153846153846154,200,,
59,,,,,,,,,0.798076923076923,108,,
60,,,,,,,,,0.0769230769230769,214,,
61,,,,,,,,,0.201923076923077,196,,
62,,,,,,,,,0.288461538461538,183,,
63,,,,,,,,,0.625,123,,
64,,,,,,,,,0.769230769230769,113,,
65,,,,,,,,,0.423076923076923,152,,
66,,,,,,,,,0.00961538461538462,333,,
67,,,,,,,,,0.326923076923077,174,,
68,,,,,,,,,0.951923076923077,74,,
69,,,,,,,,,0.5,142,,
70,,,,,,,,,0.865384615384615,93,,
71,,,,,,,,,0.442307692307692,148,,
72,,,,,,,,,0.778846153846154,112,,
73,,,,,,,,,0.711538461538462,117,,
74,,,,,,,,,0.826923076923077,100,,
75,,,,,,,,,0.615384615384615,124,,
76,,,,,,,,,0.788461538461538,108,,
77,,,,,,,,,0.259615384615385,185,,
78,,,,,,,,,0.0192307692307692,259,,
79,,,,,,,,,0.0576923076923077,221,,
80,,,,,,,,,0.211538461538462,194,,
81,,,,,,,,,0.144230769230769,202,,
82,,,,,,,,,0.576923076923077,134,,
83,,,,,,,,,0.182692307692308,199,,
84,,,,,,,,,0.394230769230769,161,,
85,,,,,,,,,0.0480769230769231,226,,
86,,,,,,,,,0.134615384615385,202,,
87,,,,,,,,,0.644230769230769,122,,
88,,,,,,,,,0.298076923076923,180,,
89,,,,,,,,,0.173076923076923,200,,
90,,,,,,,,,0.0673076923076923,215,,
91,,,,,,,,,0.346153846153846,167,,
92,,,,,,,,,0.230769230769231,190,,
93,,,,,,,,,0.548076923076923,137,,
94,,,,,,,,,0.721153846153846,115,,
95,,,,,,,,,0.163461538461538,200,,
96,,,,,,,,,0.730769230769231,115,,
97,,,,,,,,,0.115384615384615,205,,
98,,,,,,,,,0.461538461538462,143,,
99,,,,,,,,,0.557692307692308,136,,
