ground,year,score
MCG,1877,165
MCG,1877,1
MCG,1877,12
MCG,1877,1
MCG,1877,15
MCG,1877,5
MCG,1877,0
MCG,1877,17
MCG,1877,18
MCG,1877,3
MCG,1877,0
MCG,1877,63
MCG,1877,7
MCG,1877,36
MCG,1877,10
MCG,1877,1
MCG,1877,9
MCG,1877,10
MCG,1877,8
MCG,1877,35
MCG,1877,10
MCG,1877,6
MCG,1877,4
MCG,1877,7
MCG,1877,20
MCG,1877,0
MCG,1877,3
MCG,1877,17
MCG,1877,11
MCG,1877,6
MCG,1877,3
MCG,1877,17
MCG,1877,8
MCG,1877,0
MCG,1877,5
MCG,1877,4
MCG,1877,13
MCG,1877,38
MCG,1877,24
MCG,1877,2
MCG,1877,3
MCG,1877,9
MCG,1877,4
MCG,1877,1
MCG,1877,18
MCG,1877,10
MCG,1877,5
MCG,1877,12
MCG,1877,19
MCG,1877,31
MCG,1877,0
MCG,1877,3
MCG,1877,7
MCG,1877,1
MCG,1877,2
MCG,1877,0
MCG,1877,1
MCG,1877,49
MCG,1877,14
MCG,1877,7
MCG,1877,52
MCG,1877,48
MCG,1877,49
MCG,1877,21
MCG,1877,2
MCG,1877,0
MCG,1877,41
MCG,1877,43
MCG,1877,30
MCG,1877,35
MCG,1877,8
MCG,1877,12
MCG,1877,18
MCG,1877,17
MCG,1877,12
MCG,1877,26
MCG,1877,0
MCG,1877,1
MCG,1877,2
MCG,1877,22
MCG,1877,0
MCG,1877,63
MCG,1877,8
MCG,1877,17
MCG,1877,0
MCG,1879,0
MCG,1879,6
MCG,1879,4
MCG,1879,2
MCG,1879,33
MCG,1879,3
MCG,1879,0
MCG,1879,0
MCG,1879,52
MCG,1879,7
MCG,1879,0
MCG,1879,15
MCG,1879,4
MCG,1879,10
MCG,1879,73
MCG,1879,39
MCG,1879,26
MCG,1879,5
MCG,1879,28
MCG,1879,6
MCG,1879,10
MCG,1879,12
MCG,1879,14
MCG,1879,13
MCG,1879,0
MCG,1879,4
MCG,1879,36
MCG,1879,18
MCG,1879,5
MCG,1879,6
MCG,1879,24
MCG,1879,6
MCG,1879,20
MCG,1879,15
MCG,1879,4
MCG,1881,0
MCG,1881,87
MCG,1881,55
MCG,1881,58
MCG,1881,11
MCG,1881,36
MCG,1881,5
MCG,1881,21
MCG,1881,5
MCG,1881,5
MCG,1881,4
MCG,1881,2
MCG,1881,38
MCG,1881,39
MCG,1881,19
MCG,1881,124
MCG,1881,30
MCG,1881,2
MCG,1881,34
MCG,1881,3
MCG,1881,4
MCG,1881,7
MCG,1881,33
MCG,1881,23
MCG,1881,70
MCG,1881,47
MCG,1881,16
MCG,1881,4
MCG,1881,6
MCG,1881,50
MCG,1881,40
MCG,1881,3
MCG,1881,2
MCG,1881,25
MCG,1881,8
MCG,1881,26
MCG,1881,22
MCG,1881,33
MCG,1882,149
MCG,1882,16
MCG,1882,7
MCG,1882,23
MCG,1882,1
MCG,1882,21
MCG,1882,26
MCG,1882,27
MCG,1882,3
MCG,1882,6
MCG,1882,13
MCG,1882,85
MCG,1882,37
MCG,1882,20
MCG,1882,52
MCG,1882,19
MCG,1882,14
MCG,1882,6
MCG,1882,10
MCG,1882,32
MCG,1882,6
MCG,1882,3
MCG,1882,64
MCG,1882,56
MCG,1882,48
MCG,1882,52
MCG,1882,4
MCG,1882,30
MCG,1882,48
MCG,1882,0
MCG,1882,43
MCG,1882,36
MCG,1882,85
MCG,1882,25
MCG,1882,9
MCG,1882,0
MCG,1882,0
MCG,1882,10
MCG,1882,0
MCG,1882,4
MCG,1882,0
MCG,1882,27
MCG,1882,19
MCG,1882,28
MCG,1882,33
MCG,1882,7
MCG,1882,26
MCG,1882,11
MCG,1882,28
MCG,1882,38
MCG,1882,21
MCG,1882,29
MCG,1882,3
MCG,1882,29
MCG,1882,4
MCG,1882,11
MCG,1882,0
MCG,1882,2
MCG,1882,3
MCG,1882,25
MCG,1882,0
MCG,1882,33
MCG,1883,14
MCG,1883,14
MCG,1883,54
MCG,1883,39
MCG,1883,75
MCG,1883,32
MCG,1883,0
MCG,1883,0
MCG,1883,55
MCG,1883,1
MCG,1883,0
MCG,1883,43
MCG,1883,14
MCG,1883,19
MCG,1883,3
MCG,1883,3
MCG,1883,0
MCG,1883,0
MCG,1883,5
MCG,1883,10
MCG,1883,7
MCG,1883,0
MCG,1883,17
