year,peak_score
1931,226
1933,86
1936,126
1946,187
1947,185
1950,74
1951,70
1952,109
1954,162
1958,71
1960,181
1962,112
1963,169
1965,166
1968,129
1970,207
1974,110
1975,123
1977,113
1978,129
1979,140
1980,111
1981,201
1982,162
1983,150
1984,138
1985,188
1986,138
1987,143
1988,90
1989,167
1990,72
1991,94
1992,157
1993,147
1994,176
1995,112
1996,161
1997,112
1998,134
1999,169
2000,62
2001,136
2002,197
2003,144
2004,141
2005,149
2006,196
2007,145
2008,131
2009,104
2010,235
2011,139
2012,259
2013,124
2014,144
2015,174
2016,137
2017,141
2019,185
2021,152
2022,92
2024,152
2025,138
