year,peak_score
1899,76
1905,144
1907,54
1909,61
1912,82
1921,115
1924,132
1926,151
1929,129
1930,334
1934,304
1935,87
1938,103
1947,100
1948,182
1949,114
1951,236
1952,133
1953,71
1955,133
1956,101
1957,69
1958,113
1959,160
1961,93
1962,119
1963,102
1964,160
1965,310
1966,174
1967,246
1968,92
1969,91
1971,112
1972,57
1973,115
1974,75
1975,95
1976,116
1977,191
1978,97
1979,137
1980,55
1981,149
1982,86
1983,112
1984,104
1985,175
1986,102
1987,99
1988,64
1989,177
1991,154
1992,135
1993,200
1994,110
1995,81
1996,170
1997,199
1998,116
2000,76
2001,173
2002,193
2003,130
2004,132
2006,192
2007,226
2008,174
2009,110
2010,77
2012,182
2013,130
2014,160
2015,120
2016,140
2017,147
2018,80
2019,135
2021,121
2022,162
2023,118
2025,149
