year,peak_score
1884,148
1886,164
1888,24
1890,75
1893,107
1896,143
1899,135
1902,55
1905,79
1907,115
1909,143
1912,164
1921,95
1924,211
1926,193
1928,122
1929,102
1930,254
1931,137
1932,85
1933,83
1934,120
1935,164
1936,67
1937,140
1938,240
1939,196
1946,205
1947,208
1948,141
1949,206
1950,168
1951,79
1952,184
1953,145
1954,53
1955,142
1956,97
1957,152
1958,65
1959,81
1960,99
1961,130
1962,153
1963,133
1964,120
1965,119
1966,163
1967,187
1968,83
1969,115
1971,121
1972,131
1973,178
1974,188
1975,175
1976,138
1977,120
1978,123
1979,113
1980,184
1981,89
1982,200
1983,108
1984,214
1985,196
1986,183
1987,123
1988,113
1989,152
1990,333
1991,174
1992,74
1993,164
1994,142
1995,93
1996,148
1997,112
1998,117
1999,100
2000,124
2001,108
2002,185
2003,259
2004,221
2005,194
2006,202
2007,134
2008,199
2009,161
2010,226
2011,202
2012,122
2013,180
2014,200
2015,215
2016,167
2017,190
2018,137
2019,115
2021,200
2022,115
2023,205
2024,143
2025,136
