year,peak_score
1877,165
1879,73
1881,124
1882,149
1883,75
1885,121
1892,57
1894,173
1895,140
1898,188
1902,104
1904,97
1908,133
1910,204
1911,132
1912,179
1920,122
1921,123
1925,176
1928,200
1929,142
1931,167
1932,103
1937,270
1947,155
1948,153
1950,62
1951,156
1952,162
1953,205
1954,102
1958,167
1959,133
1960,110
1961,92
1962,113
1964,157
1965,120
1966,307
1967,151
1968,205
1971,117
1972,158
1973,122
1974,90
1975,188
1976,109
1977,174
1978,100
1979,108
1980,119
1981,124
1982,89
1983,268
1984,208
1985,163
1986,112
1987,99
1988,122
1990,121
1991,86
1992,112
1993,170
1994,131
1995,143
1996,74
1997,105
1998,122
1999,116
2000,121
2001,138
2002,250
2003,257
2004,142
2005,137
2006,156
2007,124
2008,166
2009,120
2010,168
2011,89
2012,106
2013,116
2014,192
2015,144
2016,205
2017,244
2018,106
2019,121
2020,112
2021,76
2022,200
2023,96
2024,140
2025,46
