year,peak_score
1882,147
1883,135
1885,128
1887,42
1888,44
1892,134
1894,201
1895,105
1897,175
1898,160
1901,116
1902,92
1903,287
1904,70
1907,119
1908,166
1910,191
1911,150
1912,133
1920,158
1921,170
1924,123
1925,80
1928,251
1931,183
1932,194
1933,101
1936,231
1946,234
1947,122
1951,145
1952,104
1953,190
1954,104
1955,111
1959,100
1961,168
1963,103
1964,126
1966,185
1968,165
1969,242
1971,142
1973,121
1974,117
1975,144
1976,182
1977,120
1978,85
1979,150
1980,98
1981,204
1982,127
1983,137
1984,182
1985,89
1986,172
1987,184
1988,184
1989,149
1990,101
1991,128
1992,206
1993,277
1994,92
1995,137
1996,78
1998,100
1999,123
2000,223
2001,103
2002,153
2003,183
2004,241
2005,207
2006,143
2007,89
2008,162
2009,138
2010,134
2011,189
2012,329
2013,102
2014,119
2015,147
2016,122
2017,184
2018,171
2019,193
2020,215
2021,131
2022,137
2023,195
2024,88
2025,61
2026,163
