Year,Gabba,Eden Gardens,Headingley,Lord's,MCG,,,Gabba,Gabba,Lords,Lords,MCG,MCG,Headingley,Headingley
1877,,,,,165,,,,,,,,,,
1879,,,,,73,,,,,,,,,,
1881,,,,,124,,,1931,226,1884,148,1877,165,1899,76
1882,,,,,149,,,1933,86,1886,164,1879,73,1905,144
1883,,,,,75,,,1936,126,1888,24,1881,124,1907,54
1884,,,,148,,,,1946,187,1890,75,1882,149,1909,61
1885,,,,,121,,,1947,185,1893,107,1883,75,1912,82
1886,,,,164,,,,1950,74,1896,143,1885,121,1921,115
1888,,,,24,,,,1951,70,1899,135,1892,57,1924,132
1890,,,,75,,,,1952,109,1902,55,1894,173,1926,151
1892,,,,,57,,,1954,162,1905,79,1895,140,1929,129
1893,,,,107,,,,1958,71,1907,115,1898,188,1930,334
1894,,,,,173,,,1960,181,1909,143,1902,104,1934,304
1895,,,,,140,,,1962,112,1912,164,1904,97,1935,87
1896,,,,143,,,,1963,169,1921,95,1908,133,1938,103
1898,,,,,188,,,1965,166,1924,211,1910,204,1947,100
1899,,,76,135,,,,1968,129,1926,193,1911,132,1948,182
1902,,,,55,104,,,1970,207,1928,122,1912,179,1949,114
1904,,,,,97,,,1974,110,1929,102,1920,122,1951,236
1905,,,144,79,,,,1975,123,1930,254,1921,123,1952,133
1907,,,54,115,,,,1977,113,1931,137,1925,176,1953,71
1908,,,,,133,,,1978,129,1932,85,1928,200,1955,133
1909,,,61,143,,,,1979,140,1933,83,1929,142,1956,101
1910,,,,,204,,,1980,111,1934,120,1931,167,1957,69
1911,,,,,132,,,1981,201,1935,164,1932,103,1958,113
1912,,,82,164,179,,,1982,162,1936,67,1937,270,1959,160
1920,,,,,122,,,1983,150,1937,140,1947,155,1961,93
1921,,,115,95,123,,,1984,138,1938,240,1948,153,1962,119
1924,,,132,211,,,,1985,188,1939,196,1950,62,1963,102
1925,,,,,176,,,1986,138,1946,205,1951,156,1964,160
1926,,,151,193,,,,1987,143,1947,208,1952,162,1965,310
1928,,,,122,200,,,1988,90,1948,141,1953,205,1966,174
